Journal Title,Citations
Journal of Marketing,71
Journal of Marketing Research,19
Journal of Consumer Research,1
Marketing Science,3
Journal of Consumer Psychology,0
Journal of the Academy of Marketing Science,43
International Journal of Research in Marketing,30
Psychology and Marketing,0
European Journal of Marketing,52
Journal of Retailing,0
Industrial Marketing Management,312
